StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,CompHap,MacArthurSES,dem_famincome,dem_pincome,dem_edu,dem_class,dem_household,dem_gender,dem_age,dem_race,mTurkCode
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Think about a recent experiential purchase and object purchase that you made to increase your happiness. Between the two purchases, which made you happier? [-3 = Definitely experiential purchase, 3 = Definitely object purchase]","Think of this ladder as representing where people stand in the U.S. At the top of the ladder are the people who are the best off – those who have the most money, the most education and the most respected jobs. At the bottom are the people who are the worse off – who have the least money, least education, and the least respected jobs or no job. The higher up you are on this ladder, the closer you are to the people at the very top; the lower you are, the closer you are to the people at the very bottom. Where would you place YOURSELF on this ladder? Please choose the number of the rung where you think you stand at this time in your life, relative to other people in the U.S. [1 = Top, 10 = Bottom]","About how much is your yearly family income? (if more than one person working, add all).",About how much is your yearly personal income?,What is the highest level of education you have completed?,"What would
you describe your family and yourself?","Currently, what is the number of your household? (If a father, a mother, and a child are living together, then the answer would be 3.)",What is your gender?,How old are you? (in years),What is your race?,mTurkCode
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""mTurkCode""}"
10/23/19 21:05,10/23/19 21:20,0,172.58.43.51,100,924,1,10/23/19 21:20,R_3DqCNAgqEFP7H3G,,,,,47.53640747,-122.2779999,anonymous,EN,-1,5,3,2,3,3,2,1,35,1,9096766
10/23/19 21:58,10/23/19 22:05,0,50.52.5.205,100,394,1,10/23/19 22:05,R_9BkWSfjgzm4rATn,,,,,37.75100708,-97.8219986,anonymous,EN,-2,6,8,1,2,2,5,2,32,1,2170507
10/23/19 22:37,10/23/19 22:42,0,97.126.8.103,100,309,1,10/23/19 22:42,R_3FOMAyoBLfZzxm5,,,,,47.31210327,-122.3661041,anonymous,EN,3,7,4,3,2,3,5,1,30,7,5288930
10/23/19 23:31,10/23/19 23:34,0,98.247.158.11,100,178,1,10/23/19 23:34,R_1K8dqBtAGIYBqad,,,,,47.44650269,-122.1215973,anonymous,EN,-2,4,12,8,3,3,2,1,39,1,758377
10/24/19 6:09,10/24/19 6:11,0,205.141.129.33,100,141,1,10/24/19 6:11,R_RhqwW5JTAUg60Br,,,,,40.40010071,-80.01609802,anonymous,EN,2,4,8,8,3,4,1,1,30,1,6084148
10/24/19 9:00,10/24/19 13:23,0,67.139.99.82,100,15806,1,10/24/19 13:23,R_qyE0v6FulZjVi4p,,,,,47.74969482,-122.2158966,anonymous,EN,-2,5,11,11,2,4,1,1,60,1,3713654
10/24/19 14:12,10/24/19 14:24,0,107.77.213.151,100,675,1,10/24/19 14:24,R_ueNSKImum0shplL,,,,,37.5625,-122.0003967,anonymous,EN,2,6,13,8,3,3,3,2,35,1,4177869
10/24/19 19:35,10/24/19 19:38,0,209.181.88.61,100,135,1,10/24/19 19:38,R_2CHQL3Gfe4LMj4w,,,,,47.73460388,-122.3479004,anonymous,EN,-3,5,10,5,3,3,2,2,34,1,9635053